is_there_an_emotion_directed_at_a_brand_or_product,tweet
Positive emotion,mention let's go to the apple store and score an ipad #sxsw #widfy
Negative emotion,#sxsw go let's you rate &amp review sessions (although the experience on the iphone is a bit torturous)
Positive emotion,and how clever that the ipad2 comes out the first day of #sxsw with a pop up apple store right indoor town austin clever
Positive emotion, aron pilhofer from the new york times just endorsed html over ipad at the #newsapps #sxsw and asked us not to tweet what he actually said
No emotion toward brand or product,austin police hard at work guarding the apple store #sxsw {link}
Positive emotion,i mean sliced bread is great but google bread is going to be revolutionary #sxsw
Positive emotion,my sis julie and i are in a life and death rockaroke struggle to win her an ipad at the #fandango #sxsw party hole and bad religion so far
Positive emotion,you want likability of virgin trustworthiness of zappos and product of apple mention #pnid #sxsw #enchantment
Positive emotion,it looks like a laptop but it's a dock for the motorola atrix an android phone from #att it is awesome #sxsw {link}
Positive emotion,partying like it's 1986 (last time privacy law updated) with google and the aclu #sxsw (mention maggie mae's) [pic] {link}
No emotion toward brand or product,&ltnice lil sizzle reel&gt #sxsw by the numbers (video) {link} #music #socialmedia
Positive emotion,first in line mention #sxsw mention store for the #ipad2 (mention apple store sxsw) [pic] {link}
No emotion toward brand or product,1030 am line at apple pop-up store in austin it opens at 5 pm #sxsw {link}
No emotion toward brand or product,the long line at the ginger man's bathroom just saved me $829 the #sxsw pop-up apple store closed right at midnight (as i walked up)
No emotion toward brand or product,141st in line for #ipad2 at #sxsw (mention apple store sxsw w/ 38 others) {link}
Positive emotion,mad long line for google party at maggie mae's hope it's worth it but with 80s theme i am very optimistic #sxsw
No emotion toward brand or product,first in line this morning at the apple pop-up store in austin mention caught the mention this morning {link} #sxsw
No emotion toward brand or product,apple declines to be at the html5 browser wars iv panel #sxsw
Positive emotion,apple selling ipad 2 at #sxsw california is great at building cult followings {link}
Positive emotion,who's killing it at #chevytweethouse  mention - the ipad dj #sxsw {link}
No emotion toward brand or product,still feeling pukey and jet blue terminal was smelling like farts managed to buy apple slices for $5 too #notwinning #sxsw
No emotion toward brand or product,apple selling the new terp2it album rt mention now more than 200 lined up for #sxsw apple pop up store
No emotion toward brand or product,mention link to google story doesn't work   thx #sxsw
No emotion toward brand or product,mention link or i have to google it huh  see u in austin for #sxsw let me buy you a drink if you'll be there
No emotion toward brand or product,about to listen to a talk from mention marissa mayer at #sxsw
No emotion toward brand or product,going to listen to former mention coworker speak about his &quottrip&quot to mars with nasa then ipad time #sxsw
No emotion toward brand or product,staying alive can indie iphone game development survive  #sxsw (mention acc - room 12ab w/ 22 others) {link}
No emotion toward brand or product,watching live not the tsunami apple ipad line at austin #sxsw mostly mention oh and that sexy mention
Positive emotion,#ipad2 delivery at the pop up mention store mention quite possible #sxsw #sxswi {link}
Positive emotion,never realized that there was a story/meaning behind every google logo so cool loving hearing from the #googledoodle team #gsdm #sxsw
No emotion toward brand or product,austin folks any stores that carry apple accessories (keyboard/mouse) near alamo lake creek mine didn't make the trip #sxsw
No emotion toward brand or product,calling all android &amp iphone app devs you need to follow mention now &amp find him at #sxsw screenburn for cool swag
No emotion toward brand or product,i just fell asleep for 2 hours with my eyes open staring into the #sxsw stream on my ipad 2 {link}
Positive emotion,ipad 2 will be taking over #sxsw i'm prepared for this to be the most fun weekend of my career
No emotion toward brand or product,google will connect the digital &amp physical worlds through mobile -{link} #sxsw
No emotion toward brand or product,google will connect the digital &amp physical worlds through mobile {link} #sxsw #mobile #mcommerce
Negative emotion,google will eat itself #rhizome #sxswk #sxsw  mention hilton {link}
Positive emotion,omg still in line for the new ipad n dieing of hunger #sxsw who else is in line
Positive emotion,welcome all ipad 2 owners and new used ipad owners there's room for everyone at this party #sxsw #postpc
No emotion toward brand or product,google will launch a new social network called #circles {link} focused on increased privacy &amp relevanceannounced at #sxsw
No emotion toward brand or product,google will launch major new social network called circles #sxsw
No emotion toward brand or product,google soll noch heute social network #google #circles starten {link} #sxsw (via mention mention
Negative emotion,google will not launch facebook competitor circles mention #sxsw today as thought creeper half-friends the world over disappointed
No emotion toward brand or product,google will preview major new social service circles at #sxsw today says mention {link}  (ht mention
No emotion toward brand or product,hearing all sorts of conflicting reports about google launching circles/googleme/+1 at #sxsw any real word in austin {link}
Negative emotion,and it will suck rt mention rt mention google will preview major new social service circles at #sxsw today {link}
Positive emotion,google will take over the world #sxsw (mention acc - ballroom d w/ 97 others) {link}
Negative emotion,look at all these people at #sxsw with ipad 1's no shame
Positive emotion,i want yall to know apple built a pop up store in 3 days only selling the ipad2 wow #sxsw {link}
No emotion toward brand or product,morning all so will we be hearing about google circles today {link} #sxsw
Positive emotion,yes gowalla wins best andoid app at the team android choice awards thanks all #sxsw
No emotion toward brand or product,app is called 'your hands' #sxsw rt mention need an app to turn my iphone into a wifi mouse for my ipad exist
Positive emotion,hello holler gram come take a look at our new (and first) ipad app {link} #hollergram #sxsw
No emotion toward brand or product,hello holler gram get to know mention new ipad app {link} #hollergram #sxsw
No emotion toward brand or product,{link} killer shot i got last night of mention at the #nokiaconnects concert for #sxsw
Positive emotion,i realllllllly need to upgrade my phone haha rt mention 10 iphone apps youûªll probably need and use during #sxsw {link}
No emotion toward brand or product,barton hollow is a free song download &amp featured album on mention mention 2011 featured mix {link} #itunes #sxsw
Negative emotion,i feel silly but cannot figure out how to update the #sxsw mobile app on android it doesn't seem to have &quotoptions&quot (bottom left button)
Positive emotion,had a really good look at ie9 today mention #sxsw and as an apple #fanboy i was very impressed
No emotion toward brand or product,tim o'reilly his web 20 definition - companies that survived built value from consumer-generated data ebay amazon google #sxsw
Negative emotion,i was really hoping #sxsw would bring an android version of mention oh well maybe somedaya long time from now
Negative emotion,will overload of info delivered by google kill discovery google says ppl won't lose curiosity but i wonderwe need serendipity #sxsw
No emotion toward brand or product,data overload every month 45bil pieces of #facebook content 3bil tweets &amp 11bil #google searches #sxsw
Positive emotion,just downloaded an ipad app for countering jetlag in austin #sxsw
Positive emotion,just downloaded the #sxsw go app off the android market let's get ittttt
Positive emotion,just downloaded the asddieu app in preparation for #sxsw  pumped  you need to check it out  {link} #app #events #networking
No emotion toward brand or product,woman in lobby &quotthere's a website called like stupid iphone speller and it's ppl taking pics of funny autocorrected words&quot #sxsw
No emotion toward brand or product,rumoured location of apple pop up store iun austin texas #sxswcheers {link}
No emotion toward brand or product,guy gets logo tattoo for ipad {link} at #sxsw #austin
Positive emotion,mention lol here at #sxsw apple have a pop up store ipad 2's are flying off the shelves it's a hipster feeding frenzy
Positive emotion,wow very long queue of people at apple pop up store now some have bought 3 ipads #sxswmention room#nokiaconnects
Positive emotion,mention look rt mention new #ubersocial for #iphone now in the app store includes uberguide to #sxsw  {link}
Positive emotion,mention looks like you could get your ipad2 here {link} #apple #sxsw
No emotion toward brand or product,awesome lost colleague left iphone in car #fail #sxsw
No emotion toward brand or product,mention lost its way by caring too much about its business  - tim o'reilly #sxsw
Positive emotion,i expect lots of buzz about ipad 2 at #sxsw since it comes out tomorrow but will it support flash maybe so {link} #elonsxsw
Positive emotion,kinda jealous of the ubiquity of ipad's here#sxsw
Positive emotion,a lot of love for google apis in session on visualizing government data mention #sxsw including my maps maps api fusion tables and refine
Positive emotion,mention love the #ipad2  got one at the pop-up apple store for #sxsw attendees
Negative emotion,mention love what y'all do at #sxsw how come i'm getting login authorization error almost every time i open my app on iphone
Positive emotion,apple employee psyches up line at pop up shop at #sxsw moments before ipad 2 goes on sale  {link}
Positive emotion,apple employees just showed up in force to the #sxsw popup apple store #ipad2
No emotion toward brand or product,#sxsw #help request where's the downtown austin apple store i've walked past it but now can't find it &amp doesn't show in a map search #thx
No emotion toward brand or product,whrrl girls handing out chances to win 2 audi cars come find us #sxsw (mention apple store sxsw) {link}
No emotion toward brand or product,apple built a pop up store in 3 days for #sxsw open 24/7 only selling ipad 2's
No emotion toward brand or product,apple built an experience ecosystem with the ipod the mp3 player is just an app  #critthink #sxsw
No emotion toward brand or product,rt #love&lt=&gt hey austin know a little about #iphone or #android love music &amp wanna make $20/hour during #sxsw please let me know hey
No emotion toward brand or product,4 most valuable apple ipad apps top critical tasks managed | uberla &lt all ipad all day #sxsw {link}
Positive emotion,mention luckily mention has a pop up store at #sxsw
Positive emotion,hey you lucky dogs at #sxsw with ipads -- check out the holler gram app {link}
Negative emotion,after failure of google buzz google latitude now google circle seriously google needs to concentrate more on search #fail #google #sxsw
Positive emotion,we're at lustre pearl for #teamandroidsxsw cause we love our android geeks #sxsw {link}
Positive emotion,mr heavenly (aka the band w/ michael cera) ready to rock the bat bar at #sxsw iphone cameras de rigeur
Positive emotion,very timely #sxsw rt mention bing's search engine share continues to rise up to 136% google still tops at 654% {link}
Positive emotion,hmmonly 9 #sxsw right-brain #mwrc11 left-brain ) rt mention mention at #sxsw 9 out of 10 attendees have mac or ipad
No emotion toward brand or product,it was only a matter of time -googleto launch a social network may called google circles {link} via mention #sxsw
Negative emotion,you finally get everyone to buy in to facebook and then google introduces circle no fair stop with all the innovation people #sxsw
Negative emotion,you finally get everyone to buy in to facebook and then google introduces circles no fair stop with all the innovation people #sxsw
No emotion toward brand or product,deliciously ironic google privacy party made whole by &quotbanking cartel military-scientific dictatorship takeover&quot cab rant #sxsw
Positive emotion,in a really long line to get into the aclu/google party not sure i can wait this out #sxsw
No emotion toward brand or product,desperately need a charging station any spots out there for a dying iphone #sxsw
No emotion toward brand or product,do i really need to get vaccines before #sxsw iphone-onset prostate cancer chortler's cough mustachepox are these real things
Positive emotion,beautifully smart and simple idea rt mention mention wrote about our #hollergram ipad app for #sxsw {link}
No emotion toward brand or product,tim oreilly saying that the value what made web 20 is large databases of user contribution google craigs list amazon#sxsw
No emotion toward brand or product,#sxsw #crm #scrm join me mention sxsw next sunday 3/13 at noon at hilton austin 4 coffee &amp chat old act users &amp now can show viporbit 4 iphone
No emotion toward brand or product,funny poem at 'your mom has a ipad' session #sxsw
No emotion toward brand or product,scepticism expressed about ipad newspapers at #sxsw {link}
No emotion toward brand or product,well i'm first in line 105 hours to go  #ipad #apple #sxsw #sleepy
No emotion toward brand or product,my kingdom for a way to filter tweets that include the words &quoti just unlocked&quot on the twitter iphone app during #sxsw
Positive emotion,i know i'm late to the game here but i really dig #flipboard for ipad #sxsw
Positive emotion,so sad i'm missing the ipad 2 launch at *south by*  that sounds so chill  #sxsw #ipad #jk
No emotion toward brand or product,atomic tom rocked at the cnn grill party they're from brooklyn google them also the food and drinks are fantastic #sxsw #sxswi
No emotion toward brand or product,video from the popup apple store {link} #sxsw #sxswi
No emotion toward brand or product,video tim wu explains to me #netneutrality information empires and himself {link} thanks mention mention #sxsw
No emotion toward brand or product,photo i made it to austin i made it to #sxsw i made it into some party hosted by google and the aclu or {link}
No emotion toward brand or product,mention making new fans and friends i hope rt mention hanging at six lounge rooftop for google/blogger party - gr8 dj #sxsw
No emotion toward brand or product,at gingerman there's a gent in a kilt playing with an ipad #nnnneeerrrrddddsss #sxsw
No emotion toward brand or product,first of many at #sxsw &quotmention google to launch major new social network called circles possibly today {link} #sxsw&quot
Positive emotion,i got so many cool things from #sxsw headsets usb drives iphone chargers galore earphones must have 1k in products #rad
Positive emotion,google's marissa mayer - she is awesome #sxsw #marissagoogle  {link}
No emotion toward brand or product,google's marissa mayer demo'ing &quotcontextual discovery&quot - using where you are your history time of search to refine results #sxsw
No emotion toward brand or product,google's marissa mayer extolling coolness of google mobile maps v 52 &quotmobile surpassed desktop usage 4 1st time this year&quot #sxsw #sxswi
No emotion toward brand or product,google's marissa mayer is presenting about location the nerds (read me) swoon #sxsw
No emotion toward brand or product,google's marissa mayer on mobile contextual discovery and &quotthe power of here&quot #sxsw {link}
No emotion toward brand or product,google's marissa mayer on the location-based 'fast fun and future' {link} #sxsw
Positive emotion,google's marissa mayer on the location-based 'fast fun and future' {link} #sxsw #sxswi
No emotion toward brand or product,google's marissa mayer on the location-based 'fast fun and future' {link} #sxsw #sxswi {link}
No emotion toward brand or product,google's marissa mayer rechristening augmented reality as &quotcontextual discovery&quot definitely less phillip k dickish #sxsw ^mention
No emotion toward brand or product,google's marissa mayer says location is everything   {link} via mention #sxsw
Positive emotion,google's marissa mayer up next at #sxsw - looking forward to this
Positive emotion,google's marissa mayer &quotthe mobile phone is a cursor that connects the physical and digital worlds&quot #sxsw
No emotion toward brand or product,google's marissa mayer &quotthe mobile phone is a cursor that connects the physical and digital worlds&quot #sxsw {link}
Positive emotion,watching marissa mayer talk about advanced / future google location-based &amp augmented reality projects very cool #sxsw #sxswi
No emotion toward brand or product,google's marissa meyers &quotsome of our products should just be features&quot me agree #sxsw
No emotion toward brand or product,great summary from #sxsw marissa mayer talks of layar hotpot maps and more {link}
Positive emotion,mention massive lines at #sxsw apple storeagree i can wait perhaps late early adopter
No emotion toward brand or product,google's matt cuts drops a convoluted analogy about &quotamerica's funniest home videos&quot to explain high-volumes web-page automation #sxsw
Positive emotion,google's mayer google map's route around feature saves 2 yrs of drive time every day  i missed the amount of gas that saves anyone #sxsw
No emotion toward brand or product,mention mayer's great theme during q &amp a simplicity something all businesses should always keep in mind when developing #sxsw
No emotion toward brand or product,look for me at sxsw i'm the bearded guy in plaid on an iphone  #sxsw  #nfusion
No emotion toward brand or product,the go game launches do-it-yourself iphone scavenger hunts {link} (via mention mention #li #fb #sxsw
Positive emotion,i want some time with this said ipad rt mention this schedule is heavier than my laptop where's my ipad already #sxsw
No emotion toward brand or product,almost time to enter to win an ipad 2 at the #emc booth in the #sxsw exhibit hall mention mention
No emotion toward brand or product,hey pick me up one too will ya rt mention omg still in line for the new ipad n dieing of hunger #sxsw who else is in line
Positive emotion,omg sign me up until when rt mention we're officially at #sxsw come by the mention grill &amp youûªll get to make your own iphone case
No emotion toward brand or product,bah i somehow lost my little mention ipad wipe- between sessions at #sxsw
No emotion toward brand or product,stop by mention 's booth #206 at #sxsw to win an ipad2  {link}
Positive emotion,yup rt mention mention at #sxsw &quotapple comes up with cool technology no one's ever heard of because they don't go to conferences&quot
No emotion toward brand or product,next up mention #sxswi your mom had an #ipad designing for boomers #sxsw #sxswi
No emotion toward brand or product,ipad dj mention about to rock #estyaustin #sxsw (mention venue 222 w/ 36 others) [pic] {link}
No emotion toward brand or product,cool rt mention apple set to open popup shop in core of #sxsw action {link}
No emotion toward brand or product,heh rt mention apple opening temporary store in downtown austin for #sxsw and the ipad 2 launch {link}
Positive emotion,nice rt mention apple to open pop-up store at sxsw festival {link} #sxsw #ipad #mac
Positive emotion,yawn rt mention apple set to open a pop-up shop at the #sxsw interactive conference {link} #apple #ipad2
Positive emotion,yay rt mention apple is opening up a temp store in austin for #sxsw {link} via mention #ipad2û
No emotion toward brand or product,luv rt mention best thing i heard this wknd at #sxsw &quoti gave my ipad 2 money to #japan relief don't need ipad 2&quot (mention mention
No emotion toward brand or product,talk by mention beginning now first met her in summer of '99 when she started at mention always enjoy seeing her speak #sxsw
No emotion toward brand or product,if only mention brought up the google whitelists again at #sxsw #qagb {link}
No emotion toward brand or product,awesome mention by my rough calculation the beard to ipad ratio at sxsw is 11 #sxsw
Positive emotion,rocking mention for notes at #sxsw working out awesome on mbp or iphone app and they sync transparently
Positive emotion,the new mention for the android 30 is so great can't wait to use it during #sxsw 
No emotion toward brand or product,true rt mention from tablet/phone/laptop evidence at #sxsw they might as well call this country the united states of apple #sxswsa
No emotion toward brand or product,rt &gt mention guy gets tattoo at sxsw so he could win a free ipad2 {link} #sxsw #tattoo #ipad #internet
Positive emotion,i guess mention has no excuse not to get an ipad 2 {link} #sxsw
No emotion toward brand or product,yes rt mention haha the mention drinking game drink every time seth says game layer or google ventures #sxsw cc mention
Positive emotion,haha rt mention how many of you don't use apple cause no one uses windows voluntarily #kawasaki #thisisdare #sxsw
Positive emotion,yay rt mention hoot new blog post hootsuite mobile for #sxsw ~ updates for iphone blackberry &amp android {link}
No emotion toward brand or product,yup rt mention i woke up before my iphone finished recharging that means i got enough sleep last night right #sxsw
Positive emotion,haha rt mention i'll bet there's a lot of nerds at #sxsw using the #iphone light saber app in barroom brawls instead of their fists
Positive emotion,lol rt mention i'll bet there's a lot of nerds at #sxsw using the #iphone light saber app in barroom brawls instead of their fists
Positive emotion,cool rt mention it's not a rumor apple is opening up a temporary store in downtown austin for #sxsw and the ipad 2  {link}
Positive emotion,srsly ûïmention it's not a rumor apple is  up a temporary store in downtown austin for #sxsw and the ipad 2 launch {link}
No emotion toward brand or product,hehe rtûïmention march 11 austin tx will people line up at the #sxsw registration or at the apple store ^_^û #mobile
No emotion toward brand or product,rt &gt mention msc_page guy gets tattoo at sxsw so he could win a free ipad2 {link} #sxsw #tattoo #ipadû_ {link}
Positive emotion,yup rt mention my #ipad envy is through the roof thanks every other person at #sxsw
No emotion toward brand or product,ipad dj mention on the decks mention for mention killing #sxsw
No emotion toward brand or product,ipad dj mention on the decks mention for mention killing #sxsw /via mentionm
No emotion toward brand or product,wow rt mention pop-up apple store seems to be out of pop-up ipad2s #sxsw
Positive emotion,fab rt mention rt mention so mention just spilled the beans next platform 4 #flipboard is the iphoneworkin on it #sxflip #sxsw #sxswi
No emotion toward brand or product,hmmm rt mention rt mention google to launch major new social network called circles possibly today {link} #sxsw
Positive emotion,lucky ûïmention rt mention scored a #mophie juice pack at the #tradeshow #sxsw double your iphone batteryû
Positive emotion,sweet  mention rt mention is opening up a temporary store in downtown austin for #sxsw and the ipad 2 launch {link}
Positive emotion,wow rt mention rt mention google to launch major new social network called circles possibly today {link} #sxsw
No emotion toward brand or product,joining mention soon 1230pm hilton 615ab at #sxsw rt mention who is going to the android developers meetup
Positive emotion,zomg rt mention special apple store at #sxsw just for ipad line is a block long plixicom/p/83323324 plixicom/p/83323414
No emotion toward brand or product,good q ûïmention to those that purchased ipad 2 at #sxsw i see more ppl buying white one why nice frame for presentations readingû
No emotion toward brand or product,hearing mention travels across us through social connections people wandering around with ipad 2s and t-shirts with qr codes #sxsw
Positive emotion,#thanks mention we're lovin' the mention app update on my iphone be sure to download &amp familiarize yourself w/ it before #sxsw #usguys
No emotion toward brand or product,hmm rt mention we interrupt your regularly scheduled  #sxsw geek programming with big news {link} #google #circles
Positive emotion,casually mentioned you can forecast the dow six days ahead based on google mood analysis of twitter data #sxsw #smvis #imrich
Positive emotion,marcelosomers new version of google maps for mobile is pretty amazing - vector based &amp fast #sxsw marcelosomers {link}
No emotion toward brand or product,the line might have started off a bit slow but by 445pm it easily wrapped around   #ipad #sxsw #gadgets {link}
Negative emotion,mention might need to go to apple today i think my &quots&quot &quotx&quot and &quotw&quot keys are worn out #sxsw
No emotion toward brand or product,watching mike tyson demo his new iphone app #sxsw
No emotion toward brand or product,with 150 million mobile users on google maps 40% of all google maps usage is from mobile devices #maps #sxsw
Negative emotion,just got mine &amp i disagree rt  mention peter cashmore on ipad 2 it's only a minor improvement not worth it unless you've $ 2 burn #sxsw
No emotion toward brand or product,ready to mingle with my fellow #sxsurrogates #sxsw #gsdm mention gsd&ampm + google present the industry party {link}
No emotion toward brand or product,spent 45 mins mention the foursquare lot charging the iphone got it from 29% back up to 75% before getting in line for the digg party #sxsw
No emotion toward brand or product,mention mission round table #sxsw #sxbrits with twitter google dell microsoft and icm
No emotion toward brand or product,i just commented where is the bus here at #sxsw in the john lennon educational tour bus iphone app {link}
No emotion toward brand or product,seeing demo of google maps for mobile 5 vector graphics #sxsw
No emotion toward brand or product,google's mobile future and the elusive 'power of here&quot #sxsw interactive mention
No emotion toward brand or product,my #sxsw moment - walking while looking down at iphone and nearly ran into mention and mention at the acc
Positive emotion,within a month of having ipad severely autistic 9 year old had mastered puzzles and games #sxsw #poursite
No emotion toward brand or product,new from moose tracker - google discusses the importance of location with mobile {link} #sxsw
No emotion toward brand or product,the only more fitting than mention having his birthday during #sxsw is if apple released a new product today too happy birthday
No emotion toward brand or product,indeed - more info mention + #appleatxdt rt mention witness the spectacle of the apple popup store [#sxsw] {link}
No emotion toward brand or product,hmmmm more oppty to get an ipad 2 while at #sxsw {link}  - stop tempting me  )
No emotion toward brand or product,google rumored to launch new social service called circles you would think they would do that mention #sxsw
No emotion toward brand or product,1 of the most important things needed when designing for the ipad gesturing -the ability to talk with your hands that and listening #sxsw
Positive emotion,strong rumours abt google unveiling a new social network called 'circles' at  #sxsw  does look interesting {link}
No emotion toward brand or product,i made a movie about the ipad 2 launch at #sxsw {link}
Positive emotion,google &amp bavc launch impact dashboard at #sxsw - web app to collect host and visualize data in real time bavcorg/impact
No emotion toward brand or product,google &amp bing- website ranking with danny sullivan duane forrester and matt cutts {link} #vizthink #sxsw #ogilvynotes
No emotion toward brand or product,google &amp facebook have an official death policies but vast majority of digi companies don't #digitaldeath #sxsw
No emotion toward brand or product,an ipad mp3 recorder flipcam ipod laptop  yup i'm going to #sxsw with team #msusxsw {link}
No emotion toward brand or product,#bavcid impact dashboard code will be available at &quotgoogle code github or other popular sites&quot #sxsw
Positive emotion,doodle competition invite kids to create own doodles winners are put on googlecom to celebrate their awesomeness  #googledoodle #sxsw
No emotion toward brand or product,forget samplers download the unofficial #sxsw torrent {link}
No emotion toward brand or product,charity implications rt mention google to launch major new social network called circles possibly today {link} #sxsw
Positive emotion,initial impressions white ipad 2 = awesome seems so much quicker at web browsing even on the shitty wifi here at #sxsw
Positive emotion,apple trumps nvidia in tablet gaming {link} #entry #friends #house #sxsw
Positive emotion,really tempted to get the ipad 2 #sxsw
Negative emotion,nope seems no google circles launch today {link} #sxsw
Positive emotion,apple seems to be winning in the app world #sxsw
No emotion toward brand or product,{link} samsung galaxy s ii appears at fcc and team android #sxsw party {link} #android #followback
No emotion toward brand or product,65&quot multi-touch google maps at the #hotpot event at #sxsw {link}
No emotion toward brand or product,mention multiple ipad 2's while at #sxsw you crazy
No emotion toward brand or product,&quotcommunity is a place where the web is your friend and the app is not&quot {link} #sxsw #grauniad
Positive emotion,what are my #seattle #sxsw peeps up to today replacement iphone in hand - i'm back in action
Negative emotion,mention my #twitter iphone app has been down for a few days heading to #sxsw and want to tweet a lot - can you help
No emotion toward brand or product,just had my 1st 27&quot lcd cinema display facetime to ipad 2 facetime with mention  #sxsw bar in my living room lol
Positive emotion,restored my apple made smart phone because i'm about to unleash hell on it at #sxsw
No emotion toward brand or product,just saw my first ipad 2 user tooûócan tell because he has the white one #sxsw #apple #iminfanboycentral
No emotion toward brand or product,just put my first sticker on my mac after signing up for the mention iphone beta at  #sxsw  {link}
Positive emotion,just got my hand on the ipad 2 at #sxsw mixed feelings on the magnetic cover but overall a great improvemnt
Positive emotion,just got my ipad 2 courtesy of the pop up store in austin yay for #sxsw allowing the amount of available ipads to rise
Positive emotion,just got my ipad 2 white 64gb wifi blue cover that is the only thing they sell in #sxsw apple store  {link}
No emotion toward brand or product,bringing my ipad in for surgery your prayers will be repaid in #sxsw tweets (mention apple store w/ 4 others) {link}
Negative emotion,mention my iphone crashed &amp i had to do a fresh restore &amp lost my fave dali/canvas pak can i ever get it back also are you mention #sxsw
No emotion toward brand or product,charging my iphone and ipad also water and gummy bears #sxsw #hhonorsrecharge (mention hilton charging station) {link}
Positive emotion,today is my last day at the apple pop-up for #sxsw vacation starts tomorrow it's been such a great experience to be here
Positive emotion,time for my late night ipad2 purchase #sxsw (mention apple store sxsw w/ 75 others) {link}
No emotion toward brand or product,bringing my macbook ipad and iphone to #sxsw doesn't seem really practical
Positive emotion,just got my mophie juice pack plus for my iphone 4 now i'm ready for #sxsw more than double the battery life #ftw
Positive emotion,sound of my voice was shot exploiting apple &amp best buy's 14-day return policy on imacs brilliant #sxsw
Positive emotion,sound of my voice was shot exploiting apple &amp best buy's 14-day return policy on imacs brilliant #sxsw  {link}
No emotion toward brand or product,i was on my way here for the android party but hewlitt packard has a badass thing goiing with free food and booze and music i love #sxsw
Negative emotion,ahhh darn ( rt mention mention mention according to mention google has confirmed it is not launching at #sxsw if at all
No emotion toward brand or product, mention mention yes and you know i was using a little &quotjazz hands&quot while i said that #pushio #ipad #winning #sxsw #sxswi
No emotion toward brand or product,so between mention mention google places and mention which one do i check in to i need a check-in aggregator #sxsw #sxswedu
No emotion toward brand or product,innovation &amp creativity keeps mention moving 90+ jobs available via #sxsw hiring hub {link} #sxswmonster
Positive emotion,ûïmore than 35 million miles a day are driven while being google maps navigation assisted&quot --marissa mayer #sxsw  [the gps biz is so toast]
No emotion toward brand or product,"up next in 5 googletv to ipad apps the connected tv experience
{link} #sxsw #connectedtv"
No emotion toward brand or product,at houston airport to #sxsw and the number of peeps texting away is hysterical more than one #iphone user coveting electric outlet lol
No emotion toward brand or product,kid at san antonio apple store just told me that ipad 2 stock was down throughout texas cause they had all been shipped to #sxsw
No emotion toward brand or product,there's an app for that - what you think of the goings-ons at #sxsw through an ipad - hollergram {link}
No emotion toward brand or product,mike tyson appears at #sxsw to promote iphone/ipad game {link} #seo #sem #games #miketyson #topnews
No emotion toward brand or product,ireport on austin apple store via mention highlight from co-founder josh williams {link} #sxsw
No emotion toward brand or product,arrived in austin for #sxsw our hotel room is byoap (bring your own apple products) my mbp wife's imac ipad
Positive emotion,australian business &amp not-for-profits may be interested in these seo insights from google &amp bing at #sxsw {link} #digibiz
No emotion toward brand or product,"rtmention by parabolico_bh maravilha aproveitem
{link} ã_ #edchat #musedchat #sxsw #sxswi #classical"
No emotion toward brand or product,mike tyson coming to a phone near you - {link} #iphone #sxsw #videogames #tyson #art  #cartoon
Positive emotion,having fun creating a dynamic google doc with mention from opposite sides of the #killcommunity room #sxsw
Positive emotion,rtmention crowley and cashmore think ipad 2 is a minor step up tell that to the people standing in line at #sxsw apple pop-up store
No emotion toward brand or product,rtmention don't worry you guys found an iphone charger what's the deal with hipsters and beards right #sxsw
No emotion toward brand or product, mention double fisting at the keynote #sxsw #apple {link}
No emotion toward brand or product,despite an evening of back alley burlesque with mention and mention i made to a 930a panel on ipad design #sxsw #saatchiny
No emotion toward brand or product,rtmention first 19 apps to download for your #ipad 2 {link} #sxsw #in via mention mention
No emotion toward brand or product,the lesson from google one pass in this digital environment users want to purchase across every platform with one tool #sxsw #elonsxsw
Positive emotion,rtmention google to launch major new social network called circles possibly today {link} #sxsw #twnp #socmedia
No emotion toward brand or product,rtmention google will preview major new social service circles at #sxsw today says mention {link} (ht mention #tech
No emotion toward brand or product,my post on google/bing q/a with mention mention mention on website ranking #sxsw #qagb {link}
Positive emotion,we lose an hour tonight #sxsw attendees will blame microsoft apple will get credit for fixing it before christmas
Negative emotion,please can i hear more people talk about the ipad 2 preferrably with more #sxsw hashtags -  i really have a deficit of this in my life
No emotion toward brand or product,&quotwhen i want to buy a new apple device i stand in the line behind you cause steve doesn't fedex me every new product )&quot by kawasaki #sxsw
Positive emotion,innovation in banking is coming from mobile the innovators are apple google and verizon #sxsw #bankinnovation
No emotion toward brand or product,i'd pay an ipad 2 to the person who gets the most zaarly referrals by march 12th #zaarlyiscoming #winning #sxsw {link}
Positive emotion,#sxsw tron ipad app is very swish - behind the scenes footage &amp directors notes that syncs to blueray playing film
Positive emotion,i think an ipad is eminent typing thoughtful notes on a phone not working  mac book to big handwriting is ridic #sxsw day 2 conquered
Positive emotion,my verizon iphone is kicking hairy butts at sxsw  how's your at&ampt phone doing  -d  #sxsw
Positive emotion,my verizon iphone is kicking hairy butts at sxsw how's your at&ampt phone doing -d #sxsw {link}
Negative emotion,this woman is great - fessing up to issues admitting google could do better #sxsw
No emotion toward brand or product,mike tyson is signing autographs to promote an iphone boxing game oh how the mighty have fallen #sxswi #sxsw #-(
Positive emotion,lisa cohen just announced that mention will have an iphone app out this month sweet #comcom #sxsw
Positive emotion,mike tyson launched iphone game mention #sxsw {link} #tech #news {link}
Positive emotion,wanting in line at the unconfirmed apple pop-up store for an ipad 2 #sxsw
Positive emotion,waiting in line for the ipad 2 they said they may have some leftcrossing my fingers #sxsw
